BRA, CCRA
4.2572303,4.2572303
5.4930887,5.4930887
7.082747,7.082747
6.541621,6.541621
6.356317,6.356317
6.5235333,6.5235333
6.90017,6.90017
4.757581,4.757581
7.065041,7.065041
4.447445,4.447445
